sna,tot,lat,lng,流量,路徑
承德民權路口,17,25.06247,121.51839,75,05-28表格/承德民權路口.jpg
南京太原路口,18,25.05366,121.51638,154,05-28表格/南京太原路口.jpg
承德民生西路口,11,25.05756,121.51828,74,05-28表格/承德民生西路口.jpg
太原五原路口,20,25.05646,121.51698,161,05-28表格/太原五原路口.jpg
臺北轉運站(華陰街),20,25.04937,121.51914,310,05-28表格/臺北轉運站(華陰街).jpg
捷運民權西路站(3號出口),26,25.06129,121.52021,115,05-28表格/捷運民權西路站(3號出口).jpg
捷運中山站(5號出口),11,25.05296,121.51938,249,05-28表格/捷運中山站(5號出口).jpg
重慶長安路口,15,25.0515,121.51398,83,05-28表格/重慶長安路口.jpg
劍潭抽水站,17,25.08128,121.51784,130,05-28表格/劍潭抽水站.jpg
通河東街大南路口,15,25.08914,121.51542,38,05-28表格/通河東街大南路口.jpg
福港街停車場,22,25.08695,121.51901,134,05-28表格/福港街停車場.jpg
百齡國小,37,25.08521,121.51918,271,05-28表格/百齡國小.jpg
雨聲街165巷口,15,25.10277,121.53357,22,05-28表格/雨聲街165巷口.jpg
天和公園,13,25.12001,121.53342,79,05-28表格/天和公園.jpg
中山天母路口,29,25.11856,121.52964,211,05-28表格/中山天母路口.jpg
天母運動公園,27,25.11633,121.53414,246,05-28表格/天母運動公園.jpg
臺北市立大學(天母校區),16,25.11356,121.53718,169,05-28表格/臺北市立大學(天母校區).jpg
忠誠路二段53巷,18,25.11127,121.53244,109,05-28表格/忠誠路二段53巷.jpg
天母國中,18,25.11811,121.53875,15,05-28表格/天母國中.jpg
天母棒球場,26,25.11341,121.53195,159,05-28表格/天母棒球場.jpg
天母北天玉街口,15,25.12011,121.52652,59,05-28表格/天母北天玉街口.jpg
蘭興公園,16,25.11184,121.52589,129,05-28表格/蘭興公園.jpg
明勝公園,14,25.08009,121.51895,27,05-28表格/明勝公園.jpg
劍潭海外青年活動中心,23,25.07994,121.52426,68,05-28表格/劍潭海外青年活動中心.jpg
忠誠路一段173巷口,11,25.10813,121.5304,93,05-28表格/忠誠路一段173巷口.jpg
雨農國小,32,25.10564,121.52916,141,05-28表格/雨農國小.jpg
忠誠公園,14,25.10399,121.52593,83,05-28表格/忠誠公園.jpg
芝山抽水站,21,25.10155,121.52832,118,05-28表格/芝山抽水站.jpg
至誠路一段305巷口,21,25.10186,121.53083,28,05-28表格/至誠路一段305巷口.jpg
華齡公園,18,25.08302,121.52069,142,05-28表格/華齡公園.jpg
前港公園(福德宮),18,25.08671,121.52096,35,05-28表格/前港公園(福德宮).jpg
華齡街185巷口,12,25.08828,121.51985,118,05-28表格/華齡街185巷口.jpg
前港公園(前港街),19,25.0848,121.52125,54,05-28表格/前港公園(前港街).jpg
百齡高中,15,25.08736,121.52272,70,05-28表格/百齡高中.jpg
捷運芝山站(2號出口),21,25.10364,121.52219,240,05-28表格/捷運芝山站(2號出口).jpg
臺灣戲曲中心,14,25.10208,121.51979,24,05-28表格/臺灣戲曲中心.jpg
